income_type,Neighborhood,1970,1980,1990,2000,2012,2013,2014,2015,2016,2017
Median household income,Rogers Park,"$50,139","$43,962","$45,802","$46,673","$41,994","$41,589","$39,256","$38,469","$38,321","$39,009"
Median household income,West Ridge,"$72,067","$64,765","$60,185","$60,766","$48,575","$49,550","$49,816","$47,753","$49,820","$49,840"
Median household income,Uptown,"$35,381","$34,066","$37,771","$47,746","$46,517","$46,873","$45,958","$47,392","$46,737","$49,654"
Median household income,Lincoln Square,"$54,625","$49,850","$50,481","$60,403","$64,402","$64,321","$64,503","$64,794","$67,259","$71,186"
Median household income,North Center,"$51,772","$49,587","$55,458","$76,442","$91,427","$91,051","$93,810","$94,655","$99,509","$103,582"
Median household income,Lake View,"$46,590","$50,242","$61,073","$79,578","$77,073","$77,156","$78,691","$79,322","$82,923","$84,449"
Median household income,Lincoln Park,"$43,867","$57,300","$78,596","$101,336","$92,765","$90,627","$91,124","$96,391","$96,789","$99,600"
Median household income,Near North Side,"$48,341","$58,813","$74,128","$85,383","$85,329","$84,762","$85,383","$86,543","$89,187","$92,399"
Median household income,EdisonPark,"$71,948","$73,988","$78,637","$84,307","$87,236","$83,371","$82,445","$87,528","$90,322","$98,745"
Median household income,Norwood Park,"$75,830","$75,110","$75,241","$78,871","$73,404","$72,017","$73,338","$73,387","$72,556","$73,812"
Median household income,Jefferson Park,"$66,525","$65,937","$67,915","$73,314","$63,527","$63,720","$64,446","$62,674","$66,931","$70,888"
Median household income,Forest Glen,"$91,532","$89,187","$98,159","$100,828","$95,833","$96,014","$97,426","$105,076","$109,532","$108,975"
Median household income,North Park,"$73,384","$69,002","$67,054","$72,677","$57,643","$61,838","$54,327","$53,545","$55,345","$55,681"
Median household income,Albany Park,"$55,444","$52,237","$52,284","$60,127","$51,150","$52,881","$54,726","$53,673","$56,511","$57,856"
Median household income,Portage Park,"$61,943","$59,232","$61,722","$66,634","$57,283","$56,170","$56,915","$58,797","$59,494","$61,129"
Median household income,Irving Park,"$55,967","$52,551","$55,218","$62,085","$54,643","$50,633","$50,665","$53,673","$56,890","$59,455"
Median household income,Dunning,"$67,735","$66,339","$68,072","$72,911","$65,519","$63,673","$63,329","$61,956","$62,834","$65,189"
