Poverty,Neighborhood,1970,1980,1990,2000,2012,2013,2014,2015,2016,2017
Total,Rogers Park,"  58,993 ","  52,781 ","  57,172 ","  60,962 ","  55,080 ","  54,455 ","  52,115 ","  51,270 ","52,328","51,834"
Income below poverty level,Rogers Park,"  4,924 ","  8,363 ","  11,174 ","  12,993 ","  14,833 ","  15,065 ","  14,173 ","  13,487 ","13,888","13,576"
Percent income below poverty level,Rogers Park,8.3%,15.8%,19.5%,21.3%,26.9%,27.7%,27.2%,26.0%,26.5%,26.2%
Total, West Ridge ,"  64,623 ","  59,994 ","  64,069 ","  72,010 ","  72,693 ","  72,306 ","  71,941 ","  71,100 ","72,504","75,024"
Income below poverty level, West Ridge ,"  2,890 ","  3,463 ","  8,124 ","  10,314 ","  14,484 ","  15,050 ","  13,757 ","  15,690 ","16,749","15,504"
Percent income below poverty level,West Ridge,4.5%,5.8%,12.7%,14.3%,19.9%,20.8%,19.1%,22.0%,23.1%,20.7%
Total, Uptown ,"  72,289 ","  62,523 ","  61,203 ","  61,496 ","  53,601 ","  53,037 ","  52,678 ","  53,760 ","54,922","56,609"
Income below poverty level, Uptown ,"  14,220 ","  17,614 ","  19,153 ","  15,330 ","  13,483 ","  13,713 ","  12,691 ","  12,928 ","13,208","13,163"
Percent income below poverty level,Uptown,19.7%,28.2%,31.3%,24.9%,25.2%,25.9%,24.1%,24.0%,24.0%,23.3%
Total, Lincoln Square ,"  47,264 ","  43,213 ","  44,194 ","  43,785 ","  38,135 ","  38,159 ","  39,013 ","  40,177 ","40,856","41,079"
Income below poverty level, Lincoln Square ,"  3,327 ","  4,225 ","  5,833 ","  4,991 ","  4,633 ","  4,857 ","  5,145 ","  4,797 ","4,752","4,418"
Percent income below poverty level,Lincoln Square,7.0%,9.8%,13.2%,11.4%,12.1%,12.7%,13.2%,12.0%,11.6%,10.8%
Total, North Center ,"  39,350 ","  35,041 ","  32,849 ","  31,883 ","  33,388 ","  34,496 ","  34,755 ","  34,568 ","34,866","35,720"
Income below poverty level, North Center ,"  3,397 ","  4,266 ","  4,000 ","  2,731 ","  2,125 ","  2,032 ","  1,945 ","  1,918 ","1,791","1,747"
Percent income below poverty level,North Center,8.6%,12.2%,12.2%,8.6%,6.4%,5.9%,5.6%,6.0%,5.1%,4.9%
Total, Lake View ,"  114,311 ","  97,061 ","  90,671 ","  94,530 ","  96,353 ","  96,332 ","  97,733 ","  97,989 ","99,627","100,217"
Income below poverty level, Lake View ,"  13,904 ","  12,637 ","  9,648 ","  8,203 ","  11,256 ","  11,710 ","  11,335 ","  10,455 ","9,817","9,221"
