RaceEthnicity,Neighborhood,1930,1940,1950,1960,1970,1980,1990,2000,2010,2012,2013,2014,2015,2016,2017
Total,Rogers Park,"  57,094 ","  60,565 ","  62,252 ","  56,888 ","  60,787 ","  55,525 ","  60,378 ","  63,484 ","  54,991 ","  57,559 ","  57,165 ","  55,053 ","  54,402 ","  55,500 ","55,062"
Asian,Rogers Park,,,,,"  1,620 ", N/A ,"  5,100 ","  4,063 ","  3,523 ","  3,876 ","  3,450 ","  3,526 ","  3,501 ","  3,205 ","2,792"
Black or African-American,Rogers Park,  128 ,  130 ,  108 ,  57 ,  762 ,"  5,095 ","  15,885 ","  18,767 ","  14,461 ","  15,662 ","  15,461 ","  14,325 ","  13,320 ","  14,455 ","14,521"
Persons of Spanish Language*,Rogers Park,,,,,"  2,802 ","  6,621 ","  12,005 ","  17,639 ","  13,433 ","  14,280 ","  14,189 ","  13,530 ","  13,135 ","  12,383 ","12,072"
White,Rogers Park,"  56,895 ","  60,370 ","  62,095 ","  56,503 ","  58,050 ","  38,699 ","  27,030 ","  20,170 ","  21,618 ","  21,819 ","  22,304 ","  22,094 ","  22,769 ","  23,604 ","23,754"
Percent Black,Rogers Park,  0 ,  0 ,  0 ,  0 ,  1 ,  9 ,  26 ,  30 ,  26 ,  27 ,  27 ,  26 ,  24 ,  26 ,  26 
Nonwhite, Rogers Park ,  199 ,  195 ,  157 ,  385 ,"  2,737 ","  16,826 ","  33,348 ","  43,314 ","  33,373 ","  35,740 ","  34,861 ","  32,959 ","  31,633 ","  31,896 ","  31,308 "
Total,West Ridge,"  39,759 ","  43,553 ","  47,930 ","  63,884 ","  65,432 ","  61,129 ","  65,374 ","  73,199 ","  71,942 ","  73,705 ","  73,305 ","  73,019 ","  72,211 ","  73,723 ","76,215"
Asian,West Ridge,,,,,  560 , N/A ,"  10,523 ","  16,347 ","  16,184 ","  17,078 ","  17,702 ","  17,097 ","  16,868 ","  16,641 ","17,200"
Black or African-American,West Ridge,  46 ,  111 ,  115 ,  81 ,  91 ,  436 ,"  2,045 ","  4,962 ","  8,015 ","  7,683 ","  7,529 ","  7,644 ","  8,110 ","  8,936 ","9,201"
Persons of Spanish Language*,West Ridge,,,,,"  1,129 ","  2,266 ","  5,398 ","  11,353 ","  14,701 ","  15,260 ","  13,994 ","  13,088 ","  12,672 ","  13,366 ","14,256"
White,West Ridge,"  39,701 ","  43,413 ","  47,786 ","  63,696 ","  64,690 ","  52,949 ","  47,098 ","  36,403 ","  30,706 ","  31,779 ","  31,630 ","  32,839 ","  31,978 ","  31,806 ","32,173"
Percent Black,West Ridge,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  3 ,  7 ,  11 ,  10 ,  10 ,  10 ,  11 ,  12 ,  12 
Nonwhite, West Ridge ,  58 ,  140 ,  144 ,  188 ,  742 ,"  8,180 ","  18,276 ","  36,796 ","  41,236 ","  41,926 ","  41,675 ","  40,180 ","  40,233 ","  41,917 ","  44,042 "
Total,Uptown,"  67,699 ","  77,677 ","  84,462 ","  76,103 ","  74,838 ","  64,414 ","  63,839 ","  63,551 ","  56,362 ","  54,995 ","  54,449 ","  54,062 ","  55,137 ","  56,296 ","57,973"
Asian,Uptown,,,,,"  4,039 ", N/A ,"  8,859 ","  8,206 ","  6,414 ","  6,402 ","  5,803 ","  5,285 ","  4,854 ","  5,773 ","5,812"
Black or African-American,Uptown,  445 ,  426 ,  436 ,  370 ,"  3,045 ","  9,416 ","  15,134 ","  13,415 ","  11,275 ","  11,062 ","  10,796 ","  10,785 ","  11,445 ","  10,970 ","10,487"
Persons of Spanish Language*,Uptown,,,,,"  9,955 ","  14,984 ","  14,398 ","  12,674 ","  8,009 ","  7,010 ","  6,627 ","  6,964 ","  6,402 ","  7,468 ","8,324"
White,Uptown,"  66,932 ","  77,019 ","  82,868 ","  72,147 ","  65,644 ","  30,561 ","  24,743 ","  26,784 ","  29,098 ","  28,769 ","  29,312 ","  28,972 ","  30,371 ","  30,456 ","31,602"
Percent Black,Uptown,  1 ,  1 ,  1 ,  0 ,  4 ,  15 ,  24 ,  21 ,  20 ,  20 ,  20 ,  20 ,  21 ,  19 ,  18 
Nonwhite, Uptown ,  767 ,  658 ,"  1,594 ","  3,956 ","  9,194 ","  33,853 ","  39,096 ","  36,767 ","  27,264 ","  26,226 ","  25,137 ","  25,090 ","  24,766 ","  25,840 ","  26,371 "
Total,Lincoln Square,"  46,419 ","  47,179 ","  47,298 ","  49,850 ","  47,751 ","  43,954 ","  44,891 ","  44,574 ","  39,493 ","  38,622 ","  38,667 ","  39,547 ","  40,761 ","  41,483 ","41,715"
